id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
45,1,1,Debra Driza,,Redemption ,,3.66,,,9780062090423,408,3,3/17/2021,,
46,1,1,Kass Morgan,,Rebellion ,,3.73,,,,352,3,3/13/2021,,
47,1,1,Kass Morgan,,Homecoming ,,3.69,,,9780316381963,345,3,3/13/2021,,
48,1,1,Kass Morgan,,Day 21 ,,3.72,,,9780316234559,320,3,3/13/2021,,
49,1,1,Kass Morgan,,The 100 ,,3.57,,,9780316234474,323,3,3/13/2021,,
50,1,1,Karin Slaughter,,Obsesia,,4.05,,,9789731037202,416,1,12/21/2020,3/10/2021,
51,1,1,Christie Golden,,Rise of the Horde ,,4.18,,,9780743471381,368,1,2/21/2021,3/3/2021,
52,1,1,Jonathan Aycliffe,,The Vanishment,,3.76,,,9780061006586,227,1,3/2/2020,2/25/2021,
53,1,1,Sean Copeland,,World of Warcraft: Grimoire of the Shadowlands and Beyond ,,3.73,,,9781950366507,208,3,2/21/2021,,
54,1,1,Madeleine Roux,,Shadows Rising ,,3.64,,,,259,3,2/21/2021,,
55,1,1,Christie Golden,,Before the Storm ,,3.94,,,9780399594090,281,3,2/21/2021,,
56,1,1,Madeleine Roux,,The Shining Blade ,,3.81,,,9781338538946,400,3,2/21/2021,,
57,1,1,Greg Weisman,,The Spiral Path ,,4.22,,,9781338029376,432,3,2/21/2021,,
58,1,1,Greg Weisman,,Traveler ,,4.08,,,9780545906685,384,3,2/21/2021,,
59,1,1,Christie Golden,,Warcraft: Durotan,,4.04,,,9781783299607,304,3,2/21/2021,,
60,1,1,William King,,Illidan ,,4.02,,,9780399177569,336,3,2/21/2021,,
61,1,1,Blizzard Entertainment,,World of Warcraft Chronicle: Volume 3,,4.39,,,9781616558475,223,3,2/21/2021,,
62,1,1,Blizzard Entertainment,,World of Warcraft Chronicle: Volume 2,,4.46,,,9781616558468,202,3,2/21/2021,,
